Cluster,Placename,State,Lat,Long
6200,Kamalpur,Bihar,25.52189,86.16719
6121,Shahpur,Bihar,25.03065,83.77464
5031,Adampur,Bihar,24.90745,85.66945
5174,Birpur,Bihar,25.53915,85.28327
5178,Abdul Rahmanpur,Bihar,25.48583,85.33523000000001
5523,Abdullahpur,Bihar,26.12406,85.93037
3638,Maheshpur,Bihar,25.40476,87.60099
6293,Bhagwanpur,Bihar,25.93382,85.132
5562,Bahadurpur,Bihar,26.1506,85.43921
4740,Ratanpur,Bihar,24.90833,84.39757
4334,Abdulpur,Bihar,25.24318,86.74446
6264,Banarsipur,Bihar,25.777839999999998,85.43137
5102,Rasulpur,Bihar,25.18261,85.82771
4922,Kawadpur,Bihar,25.23781,86.26649
4928,Abhaipur,Bihar,24.84599,85.3139
3477,Khushalpur,Bihar,26.06926,87.70738
4424,Abhayrampur,Bihar,25.125329999999998,87.21596
5116,Hariharpur,Bihar,25.33239,85.59225
5152,Janipur,Bihar,25.52325,85.02508
5274,Achalpur,Bihar,26.12567,86.12102
6238,Isuwapur,Bihar,26.03102,84.79681
4565,Naraenpur,Bihar,25.79591,86.27793
4384,Chainpur,Bihar,24.50712,84.97029
4595,Adalpur,Bihar,25.258210000000002,86.44156
4718,Pathanpur,Bihar,26.637990000000002,85.68413000000001
6935,Lachhipur,Bihar,26.01484,84.25519
4602,Adampur,Bihar,25.319470000000003,86.4932
4588,Gobindpur,Bihar,25.28404,86.47913
3088,Partappur,Bihar,24.93848,85.43066999999999
6283,Adampur,Bihar,25.73487,84.98657
5048,Rampur,Bihar,25.44836,84.92755
6196,Chainpur,Bihar,25.9254,85.30421
5122,Bishunathpur,Bihar,24.85194,84.73652
4939,Adharpur,Bihar,25.42353,85.87447
4819,Thathupur,Bihar,25.97401,86.02738000000001
5637,Adharpur,Bihar,26.2054,84.67158
5930,Salahpur,Bihar,25.85087,85.167
6307,Musepur,Bihar,25.81314,84.89827
5572,Bahrampur,Bihar,26.131,85.52458
5160,Maddhupur,Bihar,25.58726,84.96667
4645,Dialpur,Bihar,24.83546,84.26751999999999
6531,Lahladpur,Bihar,26.35548,84.46153000000001
6134,Benipur,Bihar,24.89561,83.74384
6783,Shahpur,Bihar,25.01877,83.91349
5297,Udhopur,Bihar,24.954929999999997,84.04154
6303,Admapur,Bihar,25.86956,84.86496
6279,Admapur,Bihar,25.84739,85.03390999999999
4919,Ratnupur,Bihar,25.20533,86.20235
5534,Mathurapur,Bihar,25.984389999999998,85.49766
6278,Bazidpur,Bihar,25.75931,85.26329
4920,Afjunpur,Bihar,25.238429999999997,86.22077
4598,Dharampur,Bihar,25.21896,86.40639
5071,Jagdispur,Bihar,25.4668347,84.4179931
5108,Sherpur,Bihar,24.55433,84.76226
4436,Mahpur,Bihar,25.09556,86.63903
6239,Nayagaonurfmohammadpurmuradpur,Bihar,25.63796,85.45461999999999
6206,Agapur,Bihar,25.60614,85.94853
4433,Rampur,Bihar,25.16359,87.05202
2175,Baijnathpur,Bihar,25.902520000000003,86.60958000000001
5010,Ahamadpur,Bihar,24.83036,84.63701
5148,Ahiapur,Bihar,26.25965,84.74098000000001
4808,Manpur,Bihar,24.96585,86.0636
5094,Ahiapur,Bihar,25.20591,85.77884
5269,Mahadeopur,Bihar,25.198179999999997,84.39663
5295,Chalnpur,Bihar,24.944591,84.22284
6168,Salempur,Bihar,25.82339,85.25796
5064,Mohiuddinpur,Bihar,25.03161,84.56049
4971,Gopalpur,Bihar,26.49639,84.24589
7097,Raipur,Bihar,25.38118,83.99072
6098,Alampur,Bihar,24.87452,83.89369
4415,Karanpur,Bihar,25.07733,86.71655
2836,Bishunpur,Bihar,26.26213,87.2687
5950,Mohanpur,Bihar,25.591920000000002,86.21299
4066,Ahmadpur,Bihar,25.68267,87.78537
4435,Rahmatpur,Bihar,25.13328,86.65441
6247,Az Rakbe Udaipur,Bihar,25.72251,85.71307
4563,Damaodarpur,Bihar,26.4183,85.88795
4921,Chak Salimpur,Bihar,25.222313,86.237719
6034,Rajapur,Bihar,26.094829999999998,84.61758
