Cluster,Placename,State,Lat,Long
375,Bandapalle,Andhra Pradesh,13.141620000000001,79.11137
133,Bandapalle,Andhra Pradesh,17.43988,81.77762
6,Bandapalle,Andhra Pradesh,18.77039,84.17305
158,Bandarupalle,Andhra Pradesh,14.61849,79.5663
586,Cherukutotapalle,Andhra Pradesh,14.646606,77.767437
612,Vasannagaripalle,Andhra Pradesh,14.270225,78.30436999999999
618,Chinnarajapalle,Andhra Pradesh,14.100635,77.706002
689,Karanamvandlapalle,Andhra Pradesh,13.443878,78.633747
649,Bandlapalle,Andhra Pradesh,14.11217,78.75822
22,Bangurupalle,Andhra Pradesh,18.365289999999998,82.50112
474,Banthimadugu Gollapalle,Andhra Pradesh,12.83727,78.38225
84,Pedda Kothapalle,Andhra Pradesh,18.25613,83.78278
41,Bantupalle,Andhra Pradesh,18.04479,83.51097
53,Bapiraju Kothapalle,Andhra Pradesh,17.61688,82.64545
182,Gadugupalle,Andhra Pradesh,18.16691,82.72916
447,Basinenipalle,Andhra Pradesh,14.970310000000001,79.20737
583,Battulapalle,Andhra Pradesh,14.515325,77.766663
699,Bathalapalle,Andhra Pradesh,13.18467,78.60446999999999
543,Battupalle,Andhra Pradesh,15.328220000000002,79.62504
357,Iduvaripalle,Andhra Pradesh,13.356105,79.426866
4,Battuvaripalle,Andhra Pradesh,15.903129999999999,78.56153
640,Kammavaripalle,Andhra Pradesh,13.984620000000001,77.76978000000001
460,Bayanapalle,Andhra Pradesh,14.730360000000001,79.05974
557,Bayanapalle,Andhra Pradesh,14.5711,78.79205999999999
122,Kottapalle,Andhra Pradesh,17.291791,81.893948
173,Koturupalle,Andhra Pradesh,14.511460000000001,79.41268000000001
611,Ganapathipalle,Andhra Pradesh,13.918679999999998,77.47708
598,Beedupalle,Andhra Pradesh,14.149820000000002,77.81339
351,Beripalle,Andhra Pradesh,13.202110000000001,78.92936
475,Bodaguttapalle,Andhra Pradesh,12.72033,78.34265
580,Bhagampalle,Andhra Pradesh,13.98117,78.91572
203,Bhatlapalle,Andhra Pradesh,15.833217000000001,79.928837
675,Kantayyapalle,Andhra Pradesh,13.408667999999999,78.519137
128,Nimmakayala Kothapalle,Andhra Pradesh,16.55655,82.10025999999999
163,Bheemanapalle,Andhra Pradesh,17.98463,82.41112
146,Merakanapalle,Andhra Pradesh,16.133689999999998,80.98089
368,Maharajapuram @Siddareddipalle,Andhra Pradesh,13.116670000000001,79.00439
444,Bhumanapalle,Andhra Pradesh,15.839220000000001,79.39981
455,Chenna Reddi Palle,Andhra Pradesh,15.620379999999999,79.2063
181,Bijjapalle,Andhra Pradesh,18.14912,82.69566999999999
566,Binduraopalle,Andhra Pradesh,14.444070000000002,78.64017
204,Guntupalle,Andhra Pradesh,15.99787,80.0269
274,Tippayapalle,Andhra Pradesh,15.661682999999998,78.219202
473,Bodiguttapalle,Andhra Pradesh,13.04537,78.5247
467,Maratipalle,Andhra Pradesh,14.890579999999998,79.01463000000001
563,Boggalapalle,Andhra Pradesh,14.43718,78.83100999999999
458,Boggupalle,Andhra Pradesh,12.7655,78.40526
197,Nayanipalle,Andhra Pradesh,14.28496,79.61362
361,Bojjinayanipalle,Andhra Pradesh,13.232920000000002,79.18243000000001
164,Vitthamrajupalle,Andhra Pradesh,16.071263000000002,79.768518
304,Bollu Palle,Andhra Pradesh,15.6775,78.96206
372,Bommaiahpalle,Andhra Pradesh,13.316729999999998,79.24588
696,Kanchireddipalle,Andhra Pradesh,13.212741000000001,78.667125
542,Chinnabhattupalle,Andhra Pradesh,15.324303,79.570061
1,Bompalle,Andhra Pradesh,15.89763,77.30868000000001
79,Cherapalle,Andhra Pradesh,17.87412,82.23002
105,Bondapalle,Andhra Pradesh,18.24031,83.34772
527,Bonthagunta Palle,Andhra Pradesh,15.34184,79.34509
768,Bontalapalle,Andhra Pradesh,13.800153,78.228061
284,Mukkavaripalle,Andhra Pradesh,14.04371,79.30621
448,Boya Chinnaganna Palle,Andhra Pradesh,12.95357,78.57294
439,Kataruvani Palle,Andhra Pradesh,16.03974,79.3046
422,Pulitimmareddipalle,Andhra Pradesh,14.540578,77.228531
430,Brahmanapalle,Andhra Pradesh,15.103279999999998,77.58341
609,Kothapalle,Andhra Pradesh,14.01569,77.60778
177,Brahmanapalle,Andhra Pradesh,13.86098,79.51463000000001
377,Devaragudipalle,Andhra Pradesh,13.426910000000001,79.31528
501,Brahmanapalle,Andhra Pradesh,15.13427,78.92496
417,Todendlapalle,Andhra Pradesh,15.029459,78.585394
